tavg,tmin,tmax,prcp,wspd,pres,PC1,PC2
12.5,4.2,20.2,0.0,14.7,1011.0,0.23309509190116942,0.2887360786834772
16.1,9.2,24.7,0.6,21.4,1002.0,1.4720855116526672,1.9205471424885883
13.4,6.3,20.3,0.0,15.4,1009.1,0.4988294989750092,0.5208796531522869
15.4,10.6,21.9,3.9,15.8,1002.3,1.094685770922452,1.5829414916256261
16.0,10.0,22.8,0.0,23.0,1008.1,1.2834692666588754,1.531898066141666
17.1,10.0,23.6,0.0,11.9,1015.8,0.7700736564706456,-0.6858374708239785
17.4,11.4,24.1,0.0,12.9,1018.2,0.8521298503237922,-0.7927959256602051
19.7,13.0,27.0,0.0,14.6,1012.3,1.4784946919417734,-0.11656014324548701
19.0,14.4,24.6,0.0,14.9,1011.1,1.4436308979383539,0.06073882420879282
17.1,11.2,21.7,0.4,11.5,1013.4,0.7959385434652941,-0.4582336924988044
19.7,12.4,26.5,0.7,11.7,1010.2,1.3717548863702975,-0.21779427883479227
21.6,14.3,29.6,0.0,15.1,1004.7,2.063468819601849,0.5632176636579381
21.9,14.9,29.1,0.0,15.2,1003.5,2.1318898940717195,0.6825629926513642
21.6,16.7,27.2,0.0,24.1,1005.0,2.368824873176467,1.7611252689843033
23.2,15.2,30.9,0.0,19.9,1009.6,2.277982948553973,0.7221718746463699
23.0,16.8,29.2,0.0,13.0,1012.7,1.941760818501408,-0.4786443622428395
25.1,18.5,33.1,0.0,16.6,1007.8,2.646251612812032,0.3505277872491692
21.9,18.0,27.5,0.2,13.7,1009.2,1.992167212480816,-0.018387286706996867
20.3,15.1,25.7,0.2,15.5,1013.3,1.5615113969909287,-0.07027625728343398
21.1,15.9,26.7,3.7,15.4,1011.0,1.697115892528174,0.5275876494261156
22.1,16.5,28.1,0.1,14.2,1011.5,1.8910136223838978,-0.1662961119196947
25.2,17.8,33.1,0.0,15.5,1010.0,2.50277319117082,0.009660594267100878
25.8,19.0,33.2,0.0,15.1,1011.1,2.5644745019832573,-0.16453485209357346
21.6,17.5,26.9,3.7,16.1,1013.0,1.7895660395803714,0.4162000802189178
23.2,15.3,30.6,0.0,15.8,1007.4,2.2027721546025933,0.370523798039196
24.7,18.0,31.1,0.6,16.1,1002.5,2.6291602730902746,0.8750757626285878
24.6,16.9,32.3,0.0,21.2,996.3,3.0057445904555276,2.0434237577686307
19.9,14.6,23.9,0.0,22.8,1004.1,1.95923296298245,1.756615494465097
16.2,12.6,20.2,2.2,28.5,1016.7,1.1656141082308953,1.780934848207559
21.5,14.0,28.9,1.5,20.6,1014.7,1.8279574621707335,0.6047384801418191
22.8,17.9,27.8,0.0,15.6,1012.5,2.0146339184959507,-0.09833098427881139
23.8,18.1,30.4,0.0,14.5,1013.4,2.1549771949817633,-0.37966091220530634
25.9,18.5,33.4,0.0,13.1,1012.7,2.432831677144085,-0.5777694490895168
27.0,20.7,34.5,0.0,14.2,1009.6,2.820755795704531,-0.20129922439058068
27.3,20.2,35.0,0.0,13.4,1010.3,2.7853944857258095,-0.37801401487752545
24.9,20.7,30.8,1.9,15.2,1012.8,2.391424524919104,-0.040037722249293806
25.1,19.8,31.8,0.4,17.7,1006.2,2.733727603603176,0.6986401089261958
24.9,19.4,30.6,0.5,17.1,1004.9,2.65509468942188,0.7714150281033667
21.9,17.9,27.5,0.0,17.1,1016.3,1.874456247830837,-0.2239342191141395
23.1,18.0,28.7,0.0,16.3,1016.4,1.9823316180085617,-0.3734066093352762
25.1,20.4,30.6,0.1,18.1,1009.0,2.6357044759118216,0.4738566711523076
22.7,18.1,27.8,0.0,14.0,1009.9,2.051587743806252,-0.08064944160950234
22.9,16.4,29.0,0.0,15.1,1011.0,2.0266836430793784,-0.03348658950995025
21.1,15.9,26.0,0.0,15.6,1015.6,1.6039792154996402,-0.3112273832754613
20.1,14.4,25.3,0.0,13.5,1018.2,1.267187504756356,-0.7918874902379527
22.6,14.0,30.5,0.0,15.1,1012.1,1.9109919946257088,-0.1261079130783516
19.4,16.0,24.5,5.3,17.8,1014.2,1.4292020094269275,0.8129053504960823
19.6,12.8,26.3,0.0,10.0,1017.0,1.1189595657543407,-1.1482095271027142
22.4,15.7,29.2,0.0,13.6,1015.4,1.7750315131371044,-0.6228510433368363
23.9,17.2,31.1,0.0,12.2,1016.1,1.9804651527692239,-0.935777478259402
25.6,17.0,33.3,0.0,12.0,1014.3,2.2332749783342334,-0.8500514412506145
28.3,20.3,36.3,0.0,14.8,1011.8,2.9150673772296667,-0.3559611770194407
28.7,21.5,35.9,0.0,13.8,1013.6,2.8963766547813026,-0.6647089699078012
28.3,22.1,36.4,0.0,15.4,1014.4,2.9627983068608232,-0.5298339481071325
26.6,21.7,34.2,0.2,14.4,1012.5,2.749532872656333,-0.41250414680583736
23.5,18.2,29.6,0.2,13.3,1014.4,2.0246639803525466,-0.5928762413821039
22.4,18.4,28.2,0.2,13.0,1018.8,1.747592653650238,-0.9993387147146566
22.8,17.1,29.6,0.8,13.4,1018.3,1.7828554263660423,-0.8369616021375378
24.2,19.0,30.9,0.0,14.6,1016.4,2.1637893760628533,-0.6581970541963185
22.3,18.6,28.6,1.3,13.3,1019.1,1.7495699898741628,-0.8556421484828685
19.6,15.1,24.7,3.4,13.1,1020.9,1.0689101854711378,-0.6587187693800446
21.0,15.1,27.7,0.0,11.1,1018.3,1.4034780742317727,-1.1776744544478044
23.4,16.1,30.1,0.0,10.7,1017.0,1.7550315231954496,-1.1876188919404052
25.3,18.7,32.5,0.0,13.8,1018.7,2.192225523532727,-1.0066941579157616
26.8,20.0,34.4,0.0,16.9,1017.1,2.6099555191199433,-0.5024847663179683
24.5,19.8,30.9,1.0,14.4,1012.6,2.3212993501939962,-0.22954529432848242
24.5,17.9,31.9,0.9,13.6,1008.5,2.3698212518877253,0.02520966335219383
26.5,19.0,33.4,0.0,14.7,1006.7,2.743966948088641,0.16748513007264101
27.2,19.3,34.6,0.0,14.3,1009.3,2.7675978799439105,-0.14988095310338714
28.0,20.2,35.6,0.0,15.4,1007.8,3.004414541423726,0.10071936714809834
27.2,20.5,33.6,0.0,14.7,1010.7,2.75395069311432,-0.22014548089795677
27.0,19.5,34.9,0.0,14.7,1016.8,2.55462594006553,-0.7768072080458099
27.4,21.7,33.8,0.0,15.5,1018.3,2.627831583174515,-0.8157075052105146
27.7,21.8,33.9,0.0,11.8,1015.8,2.6138604244166466,-1.0955951731873341
27.3,21.5,34.4,0.0,15.0,1012.9,2.799893473682626,-0.40144503612495047
26.7,21.8,33.3,0.4,14.0,1014.8,2.6213795119008734,-0.6381946730895908
25.4,21.1,31.2,0.0,16.7,1016.9,2.4261903164702683,-0.4600106415664833
26.1,21.4,34.5,2.5,15.4,1012.7,2.6924727427878645,-0.004476782131413269
20.1,16.2,24.5,9.0,21.3,1017.0,1.4210978967050465,1.4835049300105603
17.9,14.8,21.7,1.0,16.2,1019.5,1.0000009867836464,-0.34627821019388233
19.8,14.9,25.2,0.5,14.8,1018.0,1.3125101464321451,-0.5363397726734309
22.6,16.8,29.8,0.2,15.8,1014.5,1.9808938540627214,-0.2422822214727087
21.1,18.3,26.6,0.4,13.0,1015.6,1.6818896279742028,-0.6462217096697221
21.3,16.5,28.0,5.5,15.9,1013.3,1.7131050324686574,0.5842302784743529
22.3,16.9,29.0,0.2,14.4,1013.2,1.92293904690668,-0.29987022076819886
21.8,15.8,28.4,0.0,14.0,1015.8,1.7048766089907035,-0.5873680448846139
24.1,17.5,31.7,0.0,12.0,1013.9,2.105770492204095,-0.7784642867791037
26.2,19.2,34.0,0.0,14.7,1013.9,2.5374915418483392,-0.4895930144583222
25.6,21.4,32.0,0.0,16.1,1014.8,2.545495948717508,-0.36864112161352347
23.5,19.4,29.4,0.0,13.7,1017.6,1.9996379521135625,-0.8621611241091223
25.1,18.6,32.3,0.3,14.6,1016.9,2.2422041137806787,-0.6926157136580051
25.1,20.9,31.5,0.0,16.2,1014.6,2.470768057817736,-0.3187869581383544
22.7,18.9,28.2,3.2,13.1,1014.7,1.860613451857776,-0.25082205278294084
22.6,17.2,28.8,0.1,14.3,1013.2,1.9462800143351604,-0.3295131040410226
24.3,18.0,30.9,0.1,17.3,1012.8,2.314246487649,0.05290058663420213
23.0,18.5,28.2,2.1,15.6,1016.0,1.9207591944983873,-0.16695947072257278
22.0,17.3,27.4,1.1,14.6,1019.2,1.6368689476522171,-0.6795141141919383
22.4,16.7,28.1,0.0,12.3,1019.1,1.6133203057004626,-1.1266118105583232
24.4,18.1,30.6,0.3,10.3,1014.0,2.033648400194166,-0.973294310175831
21.9,17.4,27.2,0.0,13.1,1016.5,1.689445589708075,-0.7723830874577485
21.0,16.2,26.3,0.0,12.9,1020.6,1.3803087961770768,-1.1332667437327821
21.5,16.4,26.8,0.0,10.9,1017.7,1.4742847602146592,-1.1567566263680253
21.8,17.0,27.0,0.0,10.7,1017.1,1.550231681430408,-1.1422723711869436
21.2,16.4,26.5,0.0,9.2,1017.9,1.378286832354308,-1.3964542797908222
22.6,16.9,30.3,0.0,11.4,1016.2,1.8164140222603464,-1.022947169354348
21.1,16.8,26.9,1.2,15.5,1018.4,1.5830013434879422,-0.4504310390745651
17.8,14.3,22.0,4.8,11.8,1026.4,0.5227669709688345,-1.0875076639294927
19.8,13.7,26.2,0.0,9.1,1024.2,0.9156176858931071,-1.9296656013214024
21.1,15.0,27.5,0.0,11.1,1018.5,1.3862557670636892,-1.192914722809168
22.1,16.2,28.8,0.0,11.8,1015.1,1.7162014225265259,-0.8346926738499904
22.2,15.3,29.8,0.0,12.6,1014.3,1.773855755222797,-0.6608592758787194
21.9,16.7,28.7,0.0,11.9,1012.6,1.8132750802486013,-0.5970496140441335
21.0,16.5,27.2,0.0,11.8,1008.1,1.8131206531009891,-0.1700854666790867
22.7,15.2,30.4,0.0,20.5,1001.4,2.5081857666446608,1.5561951025072573
20.3,15.3,25.5,0.0,13.9,1008.3,1.6758785198094923,0.14081901532153546
20.6,13.7,27.8,0.0,12.9,1011.9,1.5698801018871749,-0.33937058220463506
21.2,16.2,27.2,0.7,12.4,1010.6,1.729666016110729,-0.22665067168761197
20.5,15.1,26.6,0.0,14.9,1009.3,1.7344096721533386,0.16929951005761232
20.2,16.2,25.8,0.2,20.6,1005.6,2.0449157738719523,1.3012564384444274
19.1,12.2,26.1,0.0,14.1,1006.2,1.530017388001414,0.394817594416469
18.8,12.3,25.0,0.0,11.8,1010.5,1.245207975014709,-0.2852149357647079
20.5,14.6,27.3,0.0,12.1,1008.2,1.6841041030255972,-0.1144398356682639
15.8,9.8,20.9,7.6,18.2,1013.1,0.6622163926370853,1.4116634461419932
11.3,8.3,14.9,12.8,13.3,1019.3,-0.4842192037492889,0.99383979790929
15.9,7.6,23.9,0.0,8.3,1013.5,0.5298347538663876,-0.9297256944820107
17.3,11.7,23.5,0.0,8.8,1015.0,0.7995649281893631,-1.0507597411845708
19.4,11.3,27.6,0.0,11.4,1014.6,1.2114844306326047,-0.7436394752829028
21.7,14.7,29.3,0.0,10.4,1011.8,1.6910350625147061,-0.7129189735024577
20.9,16.3,27.3,0.0,10.6,1015.7,1.5151501999415233,-1.0160964500682856
20.7,14.3,27.5,0.0,13.2,1017.7,1.4177276759557558,-0.8252848680192927
21.6,14.5,28.4,0.0,13.0,1014.8,1.6155468644556228,-0.6162412633152019
19.2,14.2,25.8,0.0,20.4,1016.0,1.531087630803572,0.34334129713235995
14.4,8.5,20.7,0.0,10.8,1023.3,0.0950142399445066,-1.4218668282614275
19.1,10.4,28.4,0.0,10.3,1012.5,1.2145507079274842,-0.7014521473043602
16.7,12.7,23.1,0.0,15.0,1014.0,1.0420833694192704,-0.12118028449065416
16.1,8.0,24.0,0.0,11.7,1018.3,0.5281523490042693,-0.9118090376708518
19.9,13.2,27.4,0.0,15.4,1014.9,1.4654007804872045,-0.2534164196095963
15.8,10.5,22.6,0.0,9.3,1022.0,0.38568174652694276,-1.5718855008857298
16.8,10.8,24.1,0.0,8.6,1018.7,0.623065212541821,-1.4052084379843182
17.0,9.9,24.3,0.0,7.7,1016.1,0.6458737599777461,-1.2879291877978187
17.2,11.7,24.1,0.0,9.6,1017.1,0.784210929885316,-1.1398574655846876
18.0,11.2,25.4,0.0,8.6,1017.8,0.8129350609740538,-1.3610368980617575
16.4,13.3,21.5,0.0,8.6,1019.8,0.5755538565100371,-1.4879931066119447
16.8,10.8,24.0,0.0,9.9,1018.4,0.6707579738904216,-1.201176663210115
14.3,10.7,19.8,0.0,9.3,1021.8,0.17067211390931497,-1.497694093628684
15.4,7.7,24.0,0.0,7.3,1019.7,0.2787063033293268,-1.6209103600061443
14.3,10.7,20.4,0.0,13.3,1021.2,0.3548356351614297,-0.9123083608298943
13.7,6.0,22.4,0.0,11.9,1017.0,0.23699980259160328,-0.6954853694233486
15.6,9.9,21.5,0.0,22.6,1006.0,1.2407469049197555,1.6920451099621627
10.1,6.5,13.0,2.2,21.8,1012.5,-0.01074255987591092,1.4948238976980788
9.3,5.6,14.1,0.3,11.3,1023.4,-0.7095302557894404,-1.14036492665614
12.6,8.4,18.6,0.0,12.1,1018.7,0.06756598490944696,-0.7787491207457848
12.0,7.7,17.5,11.7,19.4,1014.6,0.03786030097927607,2.06462699245719
13.7,7.7,20.5,0.0,10.3,1018.8,0.125999506818969,-1.0639291399139352
13.1,7.9,20.2,0.0,12.3,1020.3,0.10580982134555228,-0.9200485540594878
12.6,8.5,19.0,0.0,20.3,1013.8,0.5259283105479275,0.7635314265717598
9.1,3.8,15.6,0.0,7.3,1023.9,-0.890748820569425,-1.763645092444706
11.0,4.0,21.3,0.0,7.5,1023.4,-0.44700134160340205,-1.798812961614573
13.0,6.2,20.4,0.0,9.3,1018.1,-0.01870127880612653,-1.1105390446428889
14.9,10.3,22.6,0.0,13.3,1005.9,0.976174818097433,0.4334252597388505
9.1,4.9,12.8,0.0,16.9,1000.7,0.09642084099775869,1.655233076793698
3.0,0.5,4.4,5.9,14.7,1014.8,-1.6214787834472695,1.0600885217591165
4.9,-0.6,12.3,0.0,10.9,1016.4,-1.202793981677815,-0.45814255774943424
6.0,0.1,12.5,0.0,12.4,1016.4,-1.0380605177687399,-0.2786000810382113
7.0,0.2,14.9,0.0,11.3,1010.9,-0.7072321552910383,0.02154658288731146
5.9,2.6,9.7,5.0,14.6,1004.2,-0.6917295095397743,1.7581100072236688
2.8,-0.9,5.5,1.8,15.2,1015.0,-1.55245862781295,0.5996395070874952
2.4,-2.2,7.9,2.0,12.7,1009.5,-1.4357061353712088,0.7665221484687873
-1.4,-3.4,0.5,6.7,18.9,1023.1,-2.456492876263573,1.1263733234993896
-1.2,-4.4,2.3,2.7,8.6,1028.5,-2.8339360896465924,-1.2678800189944663
0.5,-1.1,2.3,16.8,15.6,1023.2,-2.464346446308228,1.8578246317492928
2.6,0.0,5.7,4.9,11.7,1013.7,-1.6464403478015845,0.6206379930118443
5.8,-1.4,15.1,0.0,9.3,1017.4,-1.1366917155921592,-0.8073152693767052
4.5,-2.2,13.2,0.0,7.7,1018.1,-1.4343743549041597,-1.0353469550011511
